"Ret.Time","Area","CAS","Compound","Quality"
8.592,1967226220,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.806,368471937,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
13.186,68781863,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","91"
14.865,3150895824,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","89"
14.977,86907307,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.049,23800466,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","99"
15.501,110072288,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.639,387928930,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","70"
15.842,493400049,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.056,39685402,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
18.036,188628128,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
20.449,47187910,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","91"
21.196,78878506,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","91"
21.592,40648625,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.754,775781721,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.482,53907259,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","86"
22.7,316799719,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.706,78801827,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","99"
23.993,291695432,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.269,57443840,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.326,75837073,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.987,28628247,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.141,160965582,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
27.563,46366507,"055334-92-4","Phosphoric acid, 2-[bis(trimethylsilyl)amino]ethyl bis(trimethylsilyl) ester","86"
28.298,60057733,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.395,104578479,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.275,394637159,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.514,271810415,"1000380-17-9","D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.822,1937215587,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
29.997,51886389,"055528-75-1","Gulonic acid, 2,3,5,6-tetrakis-O-(trimethylsilyl)-, lactone","70"
30.165,419538155,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.442,248853983,"128705-71-5","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme,(1Z)-","91"
31.005,76293907,"007415-19-2","N,O,O'-Tris-(trimethylsilyl)tyrosine","91"
31.8,23422322,"000084-74-2","Dibutyl phthalate","89"
33.208,125116374,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.526,994196160,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.353,79742133,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.84,107142839,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
50.975,640576425,"001856-05-9","Cholesterol trimethylsilyl ether","99"
