"Ret.Time","Area","CAS","Compound","Quality"
8.599,2577895694,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.821,743006053,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
10.407,19919002,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","93"
12.067,48628841,"1000333-26-2","l-Proline, trimethylsilyl ester","72"
13.184,80588450,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.814,1971164901,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","94"
14.983,78250341,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.507,120546068,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.647,387948700,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","92"
15.848,543224291,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
16.063,47268089,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.351,119826870,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
18.044,206081510,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
20.453,51689983,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","90"
21.197,106103843,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","91"
21.596,56524916,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.772,918164204,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.482,69294828,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","86"
22.699,272468926,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.703,80438513,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","89"
23.997,380116308,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.273,71656640,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.327,113483398,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.986,33716091,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.144,238360085,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","94"
28.303,75477040,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.393,152837675,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.281,441371727,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.517,302128774,"1000380-17-5","L-(-)-Sorbose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.827,2078844725,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.168,462721122,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.443,297140971,"128705-71-5","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme,(1Z)-","91"
31.004,93805602,"051220-73-6","L-Tyrosine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester","91"
31.8,25384387,"017851-53-5","1,2-Benzenedicarboxylic acid, butyl 2-methylpropyl ester","86"
33.209,121436164,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.528,1159408632,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
36.355,95071802,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.479,28552280,"1000333-56-0","11-trans-Octadecenoic acid, trimethylsilyl ester","99"
36.84,111188945,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.224,17935207,"000301-02-0","9-Octadecenamide, (Z)-","92"
50.988,782153609,"001856-05-9","Cholesterol trimethylsilyl ether","99"
