"Ret.Time","Area","CAS","Compound","Quality"
8.532,1018382735,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.797,521331266,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","96"
10.399,23458363,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","94"
13.178,62090112,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.841,2420817360,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
14.97,68110515,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","93"
15.498,102033294,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.637,378494239,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","92"
15.834,387534012,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.052,27778909,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
18.036,170991263,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
20.279,92531101,"1000079-52-5","Aminomalonic acid, tris(trimethylsilyl)-","93"
21.195,76645634,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","87"
21.587,37826228,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","99"
21.753,676874565,"213608-51-6","N,O-Bis-(trimethylsilyl)-2-pyrrolidone carboxylic acid","92"
22.482,52086221,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.695,247287163,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.995,306299090,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.273,63135959,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","91"
25.334,118198795,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.142,195527755,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","94"
27.557,42787896,"055334-92-4","Phosphoric acid, 2-[bis(trimethylsilyl)amino]ethyl bis(trimethylsilyl) ester","83"
28.301,62106355,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.391,85527302,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","91"
29.274,307240243,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","93"
29.507,212611528,"1000380-35-6","D-(-)-Fructose, pentakis(trimethylsilyl) ether, benzyloxime (isomer2)","91"
29.813,1510557284,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.163,296891386,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.441,174595634,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
31.008,78649929,"007415-19-2","N,O,O'-Tris-(trimethylsilyl)tyrosine","91"
33.209,116312899,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.517,811267786,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
36.358,57861304,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.84,87344378,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
50.976,601482030,"001856-05-9","Cholesterol trimethylsilyl ether","99"
